task_id,n_samples,n_passed,passed,code,error
11,1,0,False,"def remove_Occ(s: str, char: str) -> str:
    """"""
    Removes the first and last occurrence of a given character from the string.

    Args:
        s: The input string.
        char: The character to remove. Must be a single character string.

    Returns:
        The string with the first and last occurrences of 'char'","  File ""C:\Users\Imgigi\AppData\Local\Temp\tmpf85qni4o.py"", line 2
    """"""
    ^
SyntaxError: unterminated triple-quoted string literal (detected at line 14)
"
12,1,1,True,"def sort_matrix(matrix):
    return sorted(matrix, key=sum)",
14,1,1,True,"def find_Volume(base, height, length):
  """"""
  Calculates the volume of a triangular prism.

  Args:
    base: The base length of the triangular face.
    height: The height of the triangular face.
    length: The length (or depth) of the prism.

  Returns:
    The volume of the triangular prism.
  """"""
  return 0.5 * base * height * length",
16,1,0,False,"import re

def text_lowercase_underscore(text):
    """"""
    Checks if the input string contains sequences of lowercase letters 
    joined with an underscore.
    """"""
    pattern = r'[a-z]+_[a-z]+'
    if re.search(pattern, text):
        return True
    else:
        return False","Traceback (most recent call last):
  File ""C:\Users\Imgigi\AppData\Local\Temp\tmpcs416ola.py"", line 16, in <module>
    assert text_lowercase_underscore(""Aaab_abbbc"")==(False)
           ^^^^^^^^^^^^^"
17,1,1,True,"def square_perimeter(side_length):
    """"""
    Calculates the perimeter of a square given its side length.

    Args:
        side_length (int or float): The length of one side of the square.

    Returns:
        int or float: The perimeter of the square.
    """"""
    return 4 * side_length",
18,1,1,True,"def remove_dirty_chars(s1, s2):
    """"""
    Removes characters from the first string (s1) that are present in the second string (s2).

    Args:
        s1 (str): The string from which characters will be removed.
        s2 (str): The string containing characters to be removed from s1.

    Returns:
        str: A new string with characters from s1 that are not present in s2.
    """"""
    chars_to_remove = set(s2)
    result_chars = [char for char in s1 if char not in chars_to_remove]
    return ",
19,1,1,True,"def test_duplicate(nums):
    """"""
    Checks if a given array of integers contains any duplicate element.

    Args:
        nums: A list of integers.

    Returns:
        True if the array contains duplicates, False otherwise.
    """"""
    return len(nums) != len(set(nums))",
20,1,1,True,"def is_woodall(num):
    if num <= 0:
        return False

    n = 1
    while True:
        woodall_candidate = n * (2**n) - 1
        if woodall_candidate == num:
            return True
        if woodall_candidate > num:
            return False
        n += 1",
56,1,1,True,"def check(num):
    """"""
    Checks if a given number is one less than twice its reverse.

    Args:
        num: An integer.

    Returns:
        True if the condition is met, False otherwise.
    """"""
    s_num = str(num)
    reversed_s_num = s_num[::-1]
    reversed_num = int(reversed_s_num)
    
    return num == (2 * reversed_num) - 1",
57,1,1,True,"def find_Max_Num(digits):
    """"""
    Finds the largest number that can be formed with the given list of digits.

    Args:
        digits: A list of integers representing the digits.

    Returns:
        An integer representing the largest number formed by the digits.
    """"""
    # Sort the digits in descending order to form the largest number
    digits.sort(reverse=True)

    # Convert the sorted digits to strings and join them
    largest_num_str = """".join(str(d) for d in digits)

    # Con",
58,1,1,True,"def opposite_Signs(a, b):
    """"""
    Checks whether two given integers have opposite signs.

    Args:
        a (int): The first integer.
        b (int): The second integer.

    Returns:
        bool: True if the integers have opposite signs, False otherwise.
              Zero is considered neither positive nor negative, so if either
              number is zero, they do not have opposite signs.
    """"""
    return (a * b < 0)",
59,1,1,True,"def is_octagonal(n):
    """"""
    Calculates the nth octagonal number.

    An octagonal number is a figurate number that represents the number of dots
    in a pattern of regular octagons with a common vertex and two sides.
    The formula for the nth octagonal number is n * (3*n - 2).

    Args:
        n (int): The position of the octagonal number to find (n must be a positive integer).

    Returns:
        int: The nth octagonal number.
    """"""
    return n * (3 * n - 2)",
61,1,0,False,"def count_Substrings(s: str) -> int:
    """"""
    Counts the number of substrings in a given string of digits where the
    sum of the digits in the substring is equal to the length of the substring.

    Args:
        s: A string consisting of digits.

    Returns:
        The total count of such substrings.
    """"""","Traceback (most recent call last):
  File ""C:\Users\Imgigi\AppData\Local\Temp\tmpg6smmb2j.py"", line 13, in <module>
    assert count_Substrings('112112') == 6
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"
62,1,1,True,"def smallest_num(numbers):
    return min(numbers)",
63,1,1,True,"def max_difference(tuple_list):
    """"""
    Finds the maximum difference between available pairs in the given tuple list.

    Args:
        tuple_list: A list of tuples, where each tuple contains two numbers.

    Returns:
        The maximum absolute difference found between the numbers in any pair.
    """"""
    max_diff = 0
    for pair in tuple_list:
        diff = abs(pair[0] - pair[1])
        if diff > max_diff:
            max_diff = diff
    return max_diff",
64,1,1,True,"def subject_marks(marks_list):
    return sorted(marks_list, key=lambda x: x[1])",
65,1,1,True,"def recursive_list_sum(nested_list):
    total_sum = 0
    for element in nested_list:
        if isinstance(element, list):
            total_sum += recursive_list_sum(element)
        else:
            total_sum += element
    return total_sum",
66,1,1,True,"def pos_count(numbers):
    count = 0
    for num in numbers:
        if num > 0:
            count += 1
    return count",
67,1,0,False,"def bell_number(n):
    """"""
    Calculates the nth Bell number.

    The Bell number B(n) is the number of ways to partition a set of n elements.
    B(0) = 1.

    This implementation uses a dynamic programming approach based on the Bell triangle.
    It calculates the Bell numbers iteratively, storing only the current row of the","  File ""C:\Users\Imgigi\AppData\Local\Temp\tmp31kijaum.py"", line 2
    """"""
    ^
SyntaxError: unterminated triple-quoted string literal (detected at line 13)
"
68,1,1,True,"def is_Monotonic(array):
    if len(array) <= 1:
        return True

    is_increasing = True
    is_decreasing = True

    for i in range(1, len(array)):
        if array[i] < array[i-1]:
            is_increasing = False
        if array[i] > array[i-1]:
            is_decreasing = False
            
        # If it's neither increasing nor decreasing, it's not monotonic
        if not is_increasing and not is_decreasing:
            return False

    return is_increasing or is_decreasing",
69,1,1,True,"def is_sublist(main_list, sub_list):
    n = len(main_list)
    m = len(sub_list)

    if m == 0:
        return True  # An empty list is considered a sublist of any list

    if m > n:
        return False # A sublist cannot be longer than the main list

    for i in range(n - m + 1):
        if main_list[i:i+m] == sub_list:
            return True
            
    return False",
70,1,1,True,"def get_equal(tuples_list):
    lengths = {len(t) for t in tuples_list}
    return len(lengths) <= 1",
71,1,0,False,"def comb_sort(arr):
    n = len(arr)
    if n <= 1:
        return arr

    gap = n
    shrink_factor = 1.3
    swapped = True

    while gap != 1 or swapped:
        # Update the gap value
        gap = int(gap / shrink_factor)",TIMEOUT
72,1,0,False,"def dif_Square(n):
    if n % 2 != 0:  # If n is odd
        return True
    elif n % 4 == 0:  # If n is a multiple of 4
        return True
    else:  # If n is even but not a multiple of 4 (i.e., n % 4 ==","  File ""C:\Users\Imgigi\AppData\Local\Temp\tmp31hf99p1.py"", line 8
    assert dif_Square(5) == True
IndentationError: expected an indented block after 'else' statement on line 6
"
74,1,1,True,"def is_samepatterns(words, patterns):
    if len(words) != len(patterns):
        return False

    pattern_to_word = {}
    word_to_pattern = {}

    for i in range(len(words)):
        word = words[i]
        pattern_char = patterns[i]

        # Check mapping from pattern character to word
        if pattern_char in pattern_to_word:
            if pattern_to_word[pattern_char] != word:
                return False
        else:
            pattern_to_word[pattern_char] = word

        # Check",
75,1,1,True,"def find_tuples(list_of_tuples, k):
    """"""
    Finds tuples from a given list where all elements are divisible by k.

    Args:
        list_of_tuples: A list of tuples, where each tuple contains integers.
        k: An integer divisor.

    Returns:
        A list of tuples where all elements in each tuple are divisible by k.
    """"""
    result = []
    for tup in list_of_tuples:
        if all(element % k == 0 for element in tup):
            result.append(tup)
    return result",
77,1,1,True,"def is_Diff(number):
    """"""
    Checks if a number is divisible by 11 using the alternating sum of digits rule.

    A number is divisible by 11 if the alternating sum of its digits (starting from the rightmost
    digit and alternating between adding and subtracting) is divisible by 11.

    Args:
        number (int): The integer to check for divisibility by 11.

    Returns:
        bool: True if the number is divisible by 11, False otherwise.
    """"""
    s_num = str(number)
    alternating_",
79,1,1,True,"def word_len(word):
    """"""
    Checks whether the length of the word is odd or not.

    Args:
        word: The input string.

    Returns:
        True if the length of the word is odd, False otherwise.
    """"""
    return len(word) % 2 != 0",
80,1,1,True,"def tetrahedral_number(n):
    """"""
    Calculates the nth tetrahedral number.

    A tetrahedral number is a figurate number that represents a pyramid with a triangular base
    and three sides, called a tetrahedron. The nth tetrahedral number is the sum of the first
    n triangular numbers.

    The formula for the nth tetrahedral number is n * (n + 1) * (n + 2) / 6.

    Args:
        n (int): The position of the tetrahedral number to find (must be a non-negative integer).

    Returns:
     ",
82,1,1,True,"def volume_sphere(radius):
    import math
    return (4/3) * math.pi * (radius ** 3)",
83,1,0,False,"def get_Char(s: str) -> str:
    """"""
    Calculates a character based on the sum of ASCII values of characters in a string.

    The process involves:
    1. Summing the ASCII values of all characters in the input string.
    2. Taking this sum modulo 26.
    3. Adjusting the result by subtracting 3","  File ""C:\Users\Imgigi\AppData\Local\Temp\tmpff39cf8i.py"", line 2
    """"""
    ^
SyntaxError: unterminated triple-quoted string literal (detected at line 12)
"
84,1,0,False,"def sequence(n: int) -> int:
    """"""
    Calculates the nth number in a variation of the Newman-Conway sequence.

    The sequence is defined as:
    a(1) = 1
    a(2) = 1
    a(n) = a(a(n-1)) + a(n - a","  File ""C:\Users\Imgigi\AppData\Local\Temp\tmpe5msl7oo.py"", line 2
    """"""
    ^
SyntaxError: unterminated triple-quoted string literal (detected at line 12)
"
85,1,1,True,"import math

def surfacearea_sphere(r):
    """"""
    Calculates the surface area of a sphere given its radius.

    Args:
        r (float or int): The radius of the sphere.

    Returns:
        float: The surface area of the sphere.
    """"""
    return 4 * math.pi * (r ** 2)",
86,1,1,True,"def centered_hexagonal_number(n):
    """"""
    Calculates the nth centered hexagonal number.

    A centered hexagonal number is a centered figurate number that represents a hexagon
    with a dot in the center and all other dots surrounding the center in a hexagonal lattice.
    The formula for the nth centered hexagonal number is 3n(n-1) + 1.

    Args:
        n (int): The position of the centered hexagonal number to find (n >= 1).

    Returns:
        int: The nth centered hexagonal number.
",
87,1,0,False,"def merge_dictionaries_three(dict1, dict2, dict3):
    """"""
    Merges three dictionaries into a single dictionary.
    If a key exists in multiple dictionaries, the value from the
    dictionary that appears earliest in the argument list will take precedence.
    """"""
    merged_dict = {}
    merged_dict.update(dict3","  File ""C:\Users\Imgigi\AppData\Local\Temp\tmpqoia93p0.py"", line 8
    merged_dict.update(dict3
                      ^
SyntaxError: '(' was never closed
"
88,1,1,True,"def freq_count(input_list):
    frequency = {}
    for item in input_list:
        frequency[item] = frequency.get(item, 0) + 1
    return frequency",
89,1,1,True,"def closest_num(n):
    return n - 1",
90,1,1,True,"def len_log(words):
    """"""
    Finds the length of the longest word in a list of words.

    Args:
        words: A list of strings.

    Returns:
        An integer representing the length of the longest word.
        Returns 0 if the input list is empty.
    """"""
    if not words:
        return 0
    
    longest_word = max(words, key=len)
    return len(longest_word)",
91,1,1,True,"def find_substring(string_list, substring_to_find):
    for s in string_list:
        if substring_to_find in s:
            return True
    return False",
92,1,0,False,"def is_undulating(number: int) -> bool:
    s = str(number)
    n = len(s)

    # An undulating number must have at least two digits to show alternation.
    # Also, handle potential negative sign if present.
    start_index = 0
    if s[0] == '-':
        start_index =","  File ""C:\Users\Imgigi\AppData\Local\Temp\tmpjeh31gpl.py"", line 9
    start_index =
                 ^
SyntaxError: invalid syntax
"
93,1,1,True,"def power(a, b):
    return a ** b",
94,1,1,True,"def index_minimum(data_list):
    """"""
    Given a list of tuples, returns the first value of the tuple with the smallest second value.
    """"""
    if not data_list:
        raise ValueError(""The input list cannot be empty."")
    
    # Use the min function with a key to find the tuple with the smallest second element
    min_tuple = min(data_list, key=lambda item: item[1])
    
    # Return the first element of that tuple
    return min_tuple[0]",
