task_id,n_samples,n_passed,passed,completion,error
HumanEval/0,1,1,True,"def has_close_elements(numbers: List[float], threshold: float) -> bool:
    n = len(numbers)
    if n < 2:
        return False
    for i in range(n):
        for j in range(i + 1, n):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
    return False",
HumanEval/1,1,1,True,"def separate_paren_groups(paren_string: str) -> List[str]:
    result = []
    current_group_chars = []
    balance = 0

    for char in paren_string:
        if char == ' ':
            continue

        current_group_chars.append(char)

        if char == '(':
            balance += 1
        elif char == ')':
            balance -= 1

        if balance == 0:
            result.append("""".join(current_group_chars))
            current_group_chars = []
            
    return result",
HumanEval/2,1,1,True,"def truncate_number(number: float) -> float:
    return number - int(number)",
HumanEval/3,1,1,True,"def below_zero(operations: List[int]) -> bool:
    balance = 0
    for op in operations:
        balance += op
        if balance < 0:
            return True
    return False",
HumanEval/4,1,1,True,"def mean_absolute_deviation(numbers: List[float]) -> float:
    if not numbers:
        return 0.0

    data_mean = sum(numbers) / len(numbers)

    sum_abs_diff = 0.0
    for x in numbers:
        sum_abs_diff += abs(x - data_mean)

    mad = sum_abs_diff / len(numbers)

    return mad",
HumanEval/5,1,1,True,"def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    result = []
    for i, num in enumerate(numbers):
        result.append(num)
        if i < len(numbers) - 1:
            result.append(delimeter)
    return result",
HumanEval/6,1,1,True,"def parse_nested_parens(paren_string: str) -> List[int]:
    groups = paren_string.split(' ')
    result = []
    for group in groups:
        current_depth = 0
        max_depth = 0
        for char in group:
            if char == '(':
                current_depth += 1
                max_depth = max(max_depth, current_depth)
            elif char == ')':
                current_depth -= 1
        result.append(max_depth)
    return result",
HumanEval/7,1,1,True,"def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    return [s for s in strings if substring in s]",
HumanEval/8,1,1,True,"def sum_product(numbers: List[int]) -> Tuple[int, int]:
    total_sum = 0
    total_product = 1
    for num in numbers:
        total_sum += num
        total_product *= num
    return (total_sum, total_product)",
HumanEval/9,1,1,True,"def rolling_max(numbers: List[int]) -> List[int]:
    result = []
    current_max = float('-inf')
    for number in numbers:
        current_max = max(current_max, number)
        result.append(current_max)
    return result",
HumanEval/10,1,0,False,"def make_palindrome(string: str) -> str:
    if not string:
        return """"

    n = len(string)
    
    # Iterate through possible starting points for the palindromic suffix.
    # The suffix is string[i:].
    # We are looking for the longest palindromic suffix, so we iterate `i` from 0 upwards","Traceback (most recent call last):
  File ""C:\Users\Imgigi\AppData\Local\Temp\tmpe86if2h9.py"", line 26, in <module>
    check(make_palindrome)
    ~~~~~^^^^^^^^^^^^^^^^^
  File ""C:\Users\Imgigi\AppDat"
HumanEval/11,1,1,True,"def string_xor(a: str, b: str) -> str:
    result = []
    for i in range(len(a)):
        if a[i] == b[i]:
            result.append('0')
        else:
            result.append('1')
    return """".join(result)",
HumanEval/12,1,1,True,"def longest(strings: List[str]) -> Optional[str]:
    if not strings:
        return None
    return max(strings, key=len)",
HumanEval/13,1,1,True,"def greatest_common_divisor(a: int, b: int) -> int:
    while b:
        a, b = b, a % b
    return a",
HumanEval/14,1,1,True,"def all_prefixes(string: str) -> List[str]:
    return [string[0:i] for i in range(1, len(string) + 1)]",
HumanEval/15,1,1,True,"def string_sequence(n: int) -> str:
    return ' '.join(str(i) for i in range(n + 1))",
HumanEval/16,1,1,True,"def count_distinct_characters(string: str) -> int:
    seen_characters = set()
    for char in string:
        seen_characters.add(char.lower())
    return len(seen_characters)",
HumanEval/17,1,1,True,"def parse_music(music_string: str) -> List[int]:
    note_beats_map = {
        'o': 4,
        'o|': 2,
        '.|': 1
    }
    
    notes = music_string.split(' ')
    
    result = []
    for note in notes:
        if note in note_beats_map:
            result.append(note_beats_map[note])
            
    return result",
HumanEval/18,1,1,True,"def how_many_times(string: str, substring: str) -> int:
    count = 0
    if not substring: # Handle empty substring case: it occurs len(string) + 1 times
        return len(string) + 1
    if len(substring) > len(string):
        return 0
    
    for i in range(len(string) - len(substring) + 1):
        if string[i:i+len(substring)] == substring:
            count += 1
    return count",
HumanEval/19,1,1,True,"def sort_numbers(numbers: str) -> str:
    word_to_int = {
        'zero': 0, 'one': 1, 'two': 2, 'three': 3, 'four': 4,
        'five': 5, 'six': 6, 'seven': 7, 'eight': 8, 'nine': 9
    }

    words_list = numbers.split()
    
    sorted_words = sorted(words_list, key=lambda word: word_to_int[word])
    
    return ' '.join(sorted_words)",
HumanEval/20,1,0,False,"def find_closest_elements(numbers: List[float]) -> Tuple[float, float]:
    sorted_numbers = sorted(numbers)
    
    min_diff = float('inf')
    closest_pair = (0.0, 0.0) # Placeholder, will be updated

    # Iterate through adjacent elements in the sorted list
    # The","Traceback (most recent call last):
  File ""C:\Users\Imgigi\AppData\Local\Temp\tmp6f9ft2y0.py"", line 27, in <module>
    check(find_closest_elements)
    ~~~~~^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\I"
HumanEval/21,1,0,False,"def rescale_to_unit(numbers: List[float]) -> List[float]:
    min_val = min(numbers)
    max_val = max(numbers)

    diff = max_val - min_val

    if diff == 0:
        # If all numbers are the same, there's no range to scale.
        # Map all","  File ""C:\Users\Imgigi\AppData\Local\Temp\tmpd4fqfkco.py"", line 14
    METADATA = {
IndentationError: expected an indented block after 'if' statement on line 8
"
HumanEval/22,1,1,True,"def filter_integers(values: List[Any]) -> List[int]:
    return [value for value in values if isinstance(value, int)]",
HumanEval/23,1,1,True,"def strlen(string: str) -> int:
    return len(string)",
HumanEval/24,1,1,True,"def largest_divisor(n: int) -> int:
    if n % 2 == 0:
        return n // 2
    
    i = 3
    while i * i <= n:
        if n % i == 0:
            return n // i
        i += 2
            
    return 1",
HumanEval/25,1,0,False,"def factorize(n: int) -> List[int]:
    factors = []

    # Handle factor 2
    while n % 2 == 0:
        factors.append(2)
        n //= 2

    # Handle odd factors starting from 3
    d = 3
    while d * d <= n:
        while n %","  File ""C:\Users\Imgigi\AppData\Local\Temp\tmpjg420fn3.py"", line 13
    while n %
             ^
SyntaxError: invalid syntax
"
HumanEval/26,1,1,True,"def remove_duplicates(numbers: List[int]) -> List[int]:
    counts = {}
    for num in numbers:
        counts[num] = counts.get(num, 0) + 1

    result = []
    for num in numbers:
        if counts[num] == 1:
            result.append(num)
    return result",
HumanEval/27,1,1,True,"def flip_case(string: str) -> str:
    return """".join([char.swapcase() for char in string])",
HumanEval/28,1,1,True,"def concatenate(strings: List[str]) -> str:
    return """".join(strings)",
HumanEval/29,1,1,True,"def filter_by_prefix(strings: List[str], prefix: str) -> List[str]:
    return [s for s in strings if s.startswith(prefix)]",
HumanEval/30,1,1,True,"def get_positive(l: list):
    return [x for x in l if x > 0]",
HumanEval/31,1,1,True,"def is_prime(n):
    if n <= 1:
        return False
    if n == 2:
        return True
    if n % 2 == 0:
        return False
    i = 3
    while i * i <= n:
        if n % i == 0:
            return False
        i += 2
    return True",
HumanEval/32,1,0,False,"import math


def poly(xs: list, x: float):
    """"""
    Evaluates polynomial with coefficients xs at point x.
    return xs[0] + xs[1] * x + xs[1] * x^2 + .... xs[n] * x^n
    """"""
    return sum([coeff * math.pow(x","  File ""C:\Users\Imgigi\AppData\Local\Temp\tmpktkphvec.py"", line 10
    return sum([coeff * math.pow(x
                                ^
SyntaxError: '(' was never closed
"
HumanEval/33,1,1,True,"def sort_third(l: list):
    third_values = []
    for i in range(len(l)):
        if i % 3 == 0:
            third_values.append(l[i])

    third_values.sort()

    result_list = [None] * len(l)
    third_idx = 0

    for i in range(len(l)):
        if i % 3 == 0:
            result_list[i] = third_values[third_idx]
            third_idx += 1
        else:
            result_list[i] = l[i]
            
    return result_list",
HumanEval/34,1,1,True,"def unique(l: list):
    return sorted(list(set(l)))",
HumanEval/35,1,1,True,"def max_element(l: list):
    return max(l)",
HumanEval/36,1,1,True,"def fizz_buzz(n: int):
    count_of_sevens = 0
    for i in range(1, n):
        if i % 11 == 0 or i % 13 == 0:
            count_of_sevens += str(i).count('7')
    return count_of_sevens",
HumanEval/37,1,1,True,"def sort_even(l: list):
    if not l:
        return []

    even_indexed_values = []
    for i in range(len(l)):
        if i % 2 == 0:
            even_indexed_values.append(l[i])

    even_indexed_values.sort()

    result_list = [0] * len(l)
    even_sorted_ptr = 0

    for i in range(len(l)):
        if i % 2 == 0:
            result_list[i] = even_indexed_values[even_sorted_ptr]
            even_sorted_ptr += 1
        else:
            result_list[i] = l[i]

    return result_list",
