strategy,question,answer,ground_truth,answer_relevancy,faithfulness,context_precision,context_recall
baseline,,,"async def read_items():
    return [{""item_id"": ""Foo""}]",1.00,0.12,0.89,0.20
baseline,,,"def get_items(item_a: str, item_b: int, item_c: float, item_d: bool, item_e: bytes):
    return item_a, item_b, item_c, item_d, item_e",0.90,0.25,0.25,0.20
baseline,,,"def add_api_websocket_route(
        self,
        path: str,
        endpoint: Callable[..., Any],
        name: str | None = None,
        *,
        dependencies: Sequence[Depends] | None = None,
    ) -> None:
        self.router.add_api_websocket_route(
            path,
            endpoint,
            name=name,
            dependencies=dependencies,
        )",1.00,1.00,1.00,0.20
baseline,,,"def get_typed_return_annotation(call: Callable[..., Any]) -> Any:
    signature = _get_signature(call)
    unwrapped = inspect.unwrap(call)
    annotation = signature.return_annotation

    if annotation is inspect.Signature.empty:
        return None

    globalns = getattr(unwrapped, ""__globals__"", {})
    return get_typed_annotation(annotation, globalns)",1.00,1.00,0.87,1.00
baseline,,,"async def dependency_a():
    dep_a = generate_dep_a()
    try:
        yield dep_a
    finally:
        dep_a.close()


async def dependency_b(dep_a: Annotated[DepA, Depends(dependency_a)]):
    dep_b = generate_dep_b()
    try:
        yield dep_b
    finally:
        dep_b.close(dep_a)


async def dependency_c(dep_b: Annotated[DepB, Depends(dependency_b)]):
    dep_c = generate_dep_c()
    try:
        yield dep_c
    finally:
        dep_c.close(dep_b)",1.00,1.00,1.00,0.80
baseline,,,"def is_async_gen_callable(self) -> bool:
        if self.call is None:
            return False  # pragma: no cover
        if inspect.isasyncgenfunction(
            _impartial(self.call)
        ) or inspect.isasyncgenfunction(_unwrapped_call(self.call)):
            return True
        if inspect.isclass(_unwrapped_call(self.call)):
            return False
        dunder_call = getattr(_impartial(self.call), ""__call__"", None)  # noqa: B004
        if dunder_call is None:
            return False  # pragma: no cover
        if inspect.isasyncgenfunction(
            _impartial(dunder_call)
        ) or inspect.isasyncgenfunction(_unwrapped_call(dunder_call)):
            return True
        dunder_unwrapped_call = getattr(_unwrapped_call(self.call), ""__call__"", None)  # noqa: B004
        if dunder_unwrapped_call is None:
            return False  # pragma: no cover
        if inspect.isasyncgenfunction(
            _impartial(dunder_unwrapped_call)
        ) or inspect.isasyncgenfunction(_unwrapped_call(dunder_unwrapped_call)):
            return True
        return False",0.00,0.00,0.37,0.50
baseline,,,"async def read_items(
    *,
    item_id: int = Path(title=""The ID of the item to get"", gt=0, le=1000),
    q: str,
):
    results = {""item_id"": item_id}
    if q:
        results.update({""q"": q})
    return results",1.00,1.00,0.83,1.00
baseline,,,"async def read(
        self,
        size: Annotated[
            int,
            Doc(
                """"""
                The number of bytes to read from the file.
                """"""
            ),
        ] = -1,
    ) -> bytes:
        """"""
        Read some bytes from the file.

        To be awaitable, compatible with async, this is run in threadpool.
        """"""
        return await super().read(size)",0.70,1.00,1.00,1.00
baseline,,,"def __get_validators__(cls) -> Iterable[Callable[..., Any]]:
            yield cls.validate",1.00,1.00,1.00,1.00
baseline,,,"def _uses_scopes(self) -> bool:
        if self.own_oauth_scopes:
            return True
        if self.security_scopes_param_name is not None:
            return True
        if self._is_security_scheme:
            return True
        for sub_dep in self.dependencies:
            if sub_dep._uses_scopes:
                return True
        return False",0.10,1.00,1.00,1.00
baseline,,,"def get_headers(response: Response):
    response.headers[""X-Cat-Dog""] = ""alone in the world""
    return {""message"": ""Hello World""}",1.00,0.12,0.25,0.50
baseline,,,"async def read_main(item_id: str, x_token: Annotated[str, Header()]):
    if x_token != fake_secret_token:
        raise HTTPException(status_code=400, detail=""Invalid X-Token header"")
    if item_id not in fake_db:
        raise HTTPException(status_code=404, detail=""Item not found"")
    return fake_db[item_id]


async def create_item(item: Item, x_token: Annotated[str, Header()]) -> Item:
    if x_token != fake_secret_token:
        raise HTTPException(status_code=400, detail=""Invalid X-Token header"")
    if item.id in fake_db:
        raise HTTPException(status_code=409, detail=""Item already exists"")
    fake_db[item.id] = item.model_dump()
    return item",0.50,0.50,0.37,1.00
baseline,,,"def get_settings():
    return config.Settings()


async def info(settings: config.Settings = Depends(get_settings)):
    return {
        ""app_name"": settings.app_name,
        ""admin_email"": settings.admin_email,
        ""items_per_user"": settings.items_per_user,
    }",0.70,1.00,1.00,1.00
baseline,,,"async def update_item(
    *,
    item_id: int = Path(title=""The ID of the item to get"", ge=0, le=1000),
    q: str | None = None,
    item: Item | None = None,
):
    results = {""item_id"": item_id}
    if q:
        results.update({""q"": q})
    if item:
        results.update({""item"": item})
    return results",1.00,0.38,0.00,0.90
baseline,,,"async def update_item(
    *,
    item_id: int,
    item: Annotated[
        Item,
        Body(
            examples=[
                {
                    ""name"": ""Foo"",
                    ""description"": ""A very nice Item"",
                    ""price"": 35.4,
                    ""tax"": 3.2,
                },
                {
                    ""name"": ""Bar"",
                    ""price"": ""35.4"",
                },
                {
                    ""name"": ""Baz"",
                    ""price"": ""thirty five point four"",
                },
            ],
        ),
    ],
):
    results = {""item_id"": item_id, ""item"": item}
    return results",0.00,0.00,0.64,0.00
baseline,,,"def write_log(message: str):
    with open(""log.txt"", mode=""a"") as log:
        log.write(message)


def get_query(background_tasks: BackgroundTasks, q: str | None = None):
    if q:
        message = f""found query: {q}\n""
        background_tasks.add_task(write_log, message)
    return q


async def send_notification(
    email: str, background_tasks: BackgroundTasks, q: str = Depends(get_query)
):
    message = f""message to {email}\n""
    background_tasks.add_task(write_log, message)
    return {""message"": ""Message sent""}",1.00,0.88,1.00,1.00
baseline,,,"def get_route_handler(self) -> Callable:
        original_route_handler = super().get_route_handler()

        async def custom_route_handler(request: Request) -> Response:
            try:
                return await original_route_handler(request)
            except RequestValidationError as exc:
                body = await request.body()
                detail = {""errors"": exc.errors(), ""body"": body.decode()}
                raise HTTPException(status_code=422, detail=detail)

        return custom_route_handler


async def sum_numbers(numbers: list[int] = Body()):
    return sum(numbers)",1.00,0.12,0.89,0.00
baseline,,,"def __init__(
        self,
        authorizationUrl: str,
        tokenUrl: Annotated[
            str,
            Doc(
                """"""
                The URL to obtain the OAuth2 token.
                """"""
            ),
        ],
        refreshUrl: Annotated[
            str | None,
            Doc(
                """"""
                The URL to refresh the token and obtain a new one.
                """"""
            ),
        ] = None,
        scheme_name: Annotated[
            str | None,
            Doc(
                """"""
                Security scheme name.

                It will be included in the generated OpenAPI (e.g. visible at `/docs`).
                """"""
            ),
        ] = None,
        scopes: Annotated[
            dict[str, str] | None,
            Doc(
                """"""
                The OAuth2 scopes that would be required by the *path operations* that
                use this dependency.
                """"""
            ),
        ] = None,
        description: Annotated[
            str | None,
            Doc(
                """"""
                Security scheme description.

                It will be included in the generated OpenAPI (e.g. visible at `/docs`).
                """"""
            ),
        ] = None,
        auto_error: Annotated[
            bool,
            Doc(
                """"""
                By default, if no HTTP Authorization header is provided, required for
                OAuth2 authentication, it will automatically cancel the request and
                send the client an error.

                If `auto_error` is set to `False`, when the HTTP Authorization header
                is not available, instead of erroring out, the dependency result will
                be `None`.

                This is useful when you want to have optional authentication.

                It is also useful when you want to have authentication that can be
                provided in one of multiple optional ways (for example, with OAuth2
                or in a cookie).
                """"""
            ),
        ] = True,
    ):
        if not scopes:
            scopes = {}
        flows = OAuthFlowsModel(
            authorizationCode=cast(
                Any,
                {
                    ""authorizationUrl"": authorizationUrl,
                    ""tokenUrl"": tokenUrl,
                    ""refreshUrl"": refreshUrl,
                    ""scopes"": scopes,
                },
            )
        )
        super().__init__(
            flows=flows,
            scheme_name=scheme_name,
            description=description,
            auto_error=auto_error,
        )",1.00,1.00,0.87,1.00
baseline,,,"async def read_item(request: Request, id: str):
    return templates.TemplateResponse(
        request=request, name=""item.html"", context={""id"": id}
    )",1.00,0.12,0.92,0.00
baseline,,,"async def custom_http_exception_handler(request, exc):
    print(f""OMG! An HTTP error!: {repr(exc)}"")
    return await http_exception_handler(request, exc)


async def validation_exception_handler(request, exc):
    print(f""OMG! The client sent invalid data!: {exc}"")
    return await request_validation_exception_handler(request, exc)


async def read_item(item_id: int):
    if item_id == 3:
        raise HTTPException(status_code=418, detail=""Nope! I don't like 3."")
    return {""item_id"": item_id}",1.00,0.25,0.70,1.00
baseline,,,"async def serialize_response(
    *,
    field: ModelField | None = None,
    response_content: Any,
    include: IncEx | None = None,
    exclude: IncEx | None = None,
    by_alias: bool = True,
    exclude_unset: bool = False,
    exclude_defaults: bool = False,
    exclude_none: bool = False,
    is_coroutine: bool = True,
    endpoint_ctx: EndpointContext | None = None,
    dump_json: bool = False,
) -> Any:
    if field:
        if is_coroutine:
            value, errors = field.validate(response_content, {}, loc=(""response"",))
        else:
            value, errors = await run_in_threadpool(
                field.validate, response_content, {}, loc=(""response"",)
            )
        if errors:
            ctx = endpoint_ctx or EndpointContext()
            raise ResponseValidationError(
                errors=errors,
                body=response_content,
                endpoint_ctx=ctx,
            )
        serializer = field.serialize_json if dump_json else field.serialize
        return serializer(
            value,
            include=include,
            exclude=exclude,
            by_alias=by_alias,
            exclude_unset=exclude_unset,
            exclude_defaults=exclude_defaults,
            exclude_none=exclude_none,
        )

    else:
        return jsonable_encoder(response_content)",0.70,0.25,0.89,0.00
baseline,,,"def root():
    return {""message"": ""Hello World""}",0.70,0.75,1.00,0.00
baseline,,,"def get_current_username(
    credentials: Annotated[HTTPBasicCredentials, Depends(security)],
):
    current_username_bytes = credentials.username.encode(""utf8"")
    correct_username_bytes = b""stanleyjobson""
    is_correct_username = secrets.compare_digest(
        current_username_bytes, correct_username_bytes
    )
    current_password_bytes = credentials.password.encode(""utf8"")
    correct_password_bytes = b""swordfish""
    is_correct_password = secrets.compare_digest(
        current_password_bytes, correct_password_bytes
    )
    if not (is_correct_username and is_correct_password):
        raise HTTPException(
            status_code=status.HTTP_401_UNAUTHORIZED,
            detail=""Incorrect username or password"",
            headers={""WWW-Authenticate"": ""Basic""},
        )
    return credentials.username


def read_current_user(username: Annotated[str, Depends(get_current_username)]):
    return {""username"": username}",1.00,0.25,0.20,0.20
baseline,,,"async def read_items(headers: Annotated[CommonHeaders, Header()]):
    return headers",1.00,0.25,1.00,0.20
