index,type,topic,python,style,fastapi_min_version,source_file,instruction
0,tutorial,dependencies,py310+,annotated,312,docs_src/dependencies/tutorial006_an_py310.py.py,Implement a FastAPI endpoint using `Depends()` with the `Annotated` type hint style and Python 3.10+ syntax. [ex006 · annotated · py310]
1,tutorial,query,py310+,basic,312,docs_src/query/params_str_validations_tutorial011_py310.py.py,Write a FastAPI route that accepts query parameters using standard parameter defaults and Python 3.10+ syntax. [ex011 · py310]
2,tutorial,python,py310+,basic,312,docs_src/python/types_tutorial008_py310.py.py,Write a FastAPI route using Python py310+ type hint features with standard parameter defaults and Python 3.10+ syntax. [ex008 · py310]
3,tutorial,app,py310+,basic,307,docs_src/app/testing_tutorial002_py310.py.py,Create a larger FastAPI application structure with multiple routers using standard parameter defaults and Python 3.10+ syntax. [ex002 · py310]
4,core_function,dependencies_utils,py39+,source,312,fastapi/dependencies_utils.py.py,Implement the FastAPI dependency injection utility `ensure_multipart_is_installed`.
5,tutorial,settings,py310+,basic,312,docs_src/settings/app01_py310_main.py.py,Write a FastAPI app that loads config from environment variables using standard parameter defaults and Python 3.10+ syntax.
6,tutorial,body,py310+,annotated,312,docs_src/body/multiple_params_tutorial003_an_py310.py.py,Implement a Pydantic request body model and FastAPI POST route with the `Annotated` type hint style and Python 3.10+ syntax. [ex003 · annotated · py310]
7,tutorial,extra,py310+,basic,312,docs_src/extra/models_tutorial005_py310.py.py,Add extra OpenAPI data models or schema customisation to FastAPI using standard parameter defaults and Python 3.10+ syntax. [ex005 · py310]
8,tutorial,custom,py310+,annotated,312,docs_src/custom/request_and_route_tutorial002_an_py310.py.py,Create a FastAPI application with custom response classes or serialisation using the `Annotated` type hint style and Python 3.10+ syntax. [ex002 · annotated · py310]
9,core_function,routing,py39+,source,312,fastapi/routing.py.py,Implement the FastAPI routing utility `_extract_endpoint_context`.
10,core_function,security_api_key,py39+,source,312,fastapi/security_api_key.py.py,Implement the FastAPI security utility `__call__`. [api_key] (variant 2)
11,tutorial,query,py310+,annotated,312,docs_src/query/params_str_validations_tutorial006c_an_py310.py.py,Create a FastAPI endpoint with optional and required query params using the `Annotated` type hint style and Python 3.10+ syntax. [ex006 · annotated · py310]
12,core_function,utils,py39+,source,312,fastapi/utils.py.py,Implement the FastAPI internal function `is_body_allowed_for_status_code` from `fastapi/utils.py.py`.
13,core_function,openapi_models,py39+,source,312,fastapi/openapi_models.py.py,Implement the FastAPI internal function `__get_pydantic_core_schema__` from `fastapi/openapi_models.py.py`.
14,tutorial,python,py310+,basic,312,docs_src/python/types_tutorial010_py310.py.py,Write a FastAPI route using Python py310+ type hint features with standard parameter defaults and Python 3.10+ syntax. [ex010 · py310]
15,core_function,_compat_v2,py39+,source,312,fastapi/_compat_v2.py.py,Implement the FastAPI internal function `get_flat_models_from_annotation` from `fastapi/_compat_v2.py.py`.
16,tutorial,query,py310+,annotated,312,docs_src/query/params_str_validations_tutorial010_an_py310.py.py,Create a FastAPI endpoint with optional and required query params using the `Annotated` type hint style and Python 3.10+ syntax. [ex010 · annotated · py310]
17,tutorial,dependencies,py310+,basic,312,docs_src/dependencies/tutorial004_py310.py.py,Implement a FastAPI endpoint using `Depends()` with standard parameter defaults and Python 3.10+ syntax. [ex004 · py310]
18,tutorial,path,py310+,basic,312,docs_src/path/operation_configuration_tutorial006_py310.py.py,Write a FastAPI route that uses path parameters with standard parameter defaults and Python 3.10+ syntax. [ex006 · py310]
19,tutorial,websockets,py310+,basic,312,docs_src/websockets/_tutorial002_py310.py.py,Implement real-time communication via WebSockets in FastAPI with standard parameter defaults and Python 3.10+ syntax.
